48// first line is N

// at height of 3 there are x leafs and 2x+1 noeds,
// create this level:
0,1
0,2
3,4
3,5
0,3

6,7
6,8
9,10
9,11
6,9

12,13
12,14
15,16
15,17
12,15

18,19
18,20
21,22
21,23
18,21


24,25
24,26
27,28
27,29
24,27

30,31
30,32
33,34
33,35
30,33

36,37
36,38
39,40
39,41
36,39

42,43
42,44
45,46
45,47
42,45



// When union every two sets we'll get a new node per union
0,6
12,18
24,30
36,42
// When union every two sets we'll get a an other new node per union
0,12
24,36
// When union every two sets we'll get a an other new node per union
0,24
